0.0,0,27368
0.5,8549,27368
1.0,10573,27368
1.5,11654,27368
2.0,12324,27368
2.5,12847,27368
3.0,13316,27368
3.5,13775,27368
4.0,14165,27368
4.5,14478,27368
5.0,14790,27368
5.5,15249,27368
6.0,15527,27368
6.5,15749,27368
7.0,16001,27368
7.5,16155,27368
8.0,16334,27368
8.5,16527,27368
9.0,16723,27368
9.5,16869,27368
10.0,16998,27368
20,18398,27368
30,19091,27368
40,19663,27368
50,20045,27368
60,20453,27368
70,20766,27368
80,21000,27368
90,21175,27368
100,21312,27368
110,21424,27368
120,21526,27368
130,21618,27368
140,21691,27368
150,21763,27368
160,21834,27368
170,21893,27368
180,21945,27368
190,21992,27368
200,22042,27368
210,22094,27368
220,22135,27368
230,22176,27368
240,22221,27368
250,22272,27368
260,22309,27368
270,22343,27368
280,22376,27368
290,22409,27368
300,22441,27368
310,22462,27368
320,22498,27368
330,22527,27368
340,22555,27368
350,22579,27368
360,22604,27368
370,22629,27368
380,22650,27368
390,22682,27368
400,22704,27368
410,22756,27368
420,22801,27368
430,22818,27368
440,22849,27368
450,22866,27368
460,22878,27368
470,22906,27368
480,22916,27368
490,22935,27368
500,22951,27368
510,22967,27368
520,22979,27368
530,23000,27368
540,23020,27368
550,23033,27368
560,23046,27368
570,23056,27368
580,23068,27368
590,23082,27368
600,23097,27368
610,23109,27368
620,23116,27368
630,23127,27368
640,23146,27368
650,23157,27368
660,23176,27368
670,23190,27368
680,23200,27368
690,23204,27368
700,23215,27368
710,23223,27368
720,23239,27368
730,23259,27368
740,23266,27368
750,23280,27368
760,23289,27368
770,23296,27368
780,23311,27368
790,23319,27368
800,23325,27368
810,23331,27368
820,23337,27368
830,23342,27368
840,23349,27368
850,23355,27368
860,23361,27368
870,23366,27368
880,23375,27368
890,23380,27368
900,23387,27368
910,23390,27368
920,23395,27368
930,23406,27368
940,23413,27368
950,23422,27368
960,23430,27368
970,23434,27368
980,23439,27368
990,23444,27368
1000,23451,27368
1010,23462,27368
1020,23469,27368
1030,23477,27368
1040,23486,27368
1050,23493,27368
1060,23500,27368
1070,23506,27368
1080,23513,27368
1090,23517,27368
1100,23524,27368
1110,23528,27368
1120,23534,27368
1130,23541,27368
1140,23544,27368
1150,23549,27368
1160,23554,27368
1170,23558,27368
1180,23564,27368
1190,23569,27368
1200,23575,27368
1210,23580,27368
1220,23588,27368
1230,23594,27368
1240,23600,27368
1250,23604,27368
1260,23607,27368
1270,23611,27368
1280,23614,27368
1290,23617,27368
1300,23623,27368
1310,23629,27368
1320,23631,27368
1330,23634,27368
1340,23637,27368
1350,23641,27368
1360,23646,27368
1370,23652,27368
1380,23654,27368
1390,23657,27368
1400,23666,27368
1410,23669,27368
1420,23671,27368
1430,23676,27368
1440,23678,27368
1450,23681,27368
1460,23687,27368
1470,23689,27368
1480,23692,27368
1490,23695,27368
1500,23698,27368
1510,23701,27368
1520,23707,27368
1530,23710,27368
1540,23714,27368
1550,23716,27368
1560,23721,27368
1570,23726,27368
1580,23735,27368
1590,23738,27368
1600,23740,27368
1610,23744,27368
1620,23748,27368
1630,23752,27368
1640,23756,27368
1650,23759,27368
1660,23762,27368
1670,23768,27368
1680,23772,27368
1690,23775,27368
1700,23777,27368
1710,23779,27368
1720,23784,27368
1730,23785,27368
1740,23789,27368
1750,23797,27368
1760,23804,27368
1770,23810,27368
1780,23810,27368
1790,23811,27368
1800,23814,27368
1810,23820,27368
1820,23824,27368
1830,23829,27368
1840,23831,27368
1850,23835,27368
1860,23839,27368
1870,23841,27368
1880,23843,27368
1890,23847,27368
1900,23850,27368
1910,23851,27368
1920,23854,27368
1930,23858,27368
1940,23865,27368
1950,23868,27368
1960,23874,27368
1970,23876,27368
1980,23879,27368
1990,23883,27368
2000,23885,27368
2010,23890,27368
2020,23894,27368
2030,23899,27368
2040,23902,27368
2050,23903,27368
2060,23905,27368
2070,23908,27368
2080,23911,27368
2090,23912,27368
2100,23913,27368
2110,23918,27368
2120,23921,27368
2130,23922,27368
2140,23925,27368
2150,23929,27368
2160,23933,27368
2170,23935,27368
2180,23939,27368
2190,23941,27368
2200,23943,27368
2210,23949,27368
2220,23952,27368
2230,23955,27368
2240,23958,27368
2250,23960,27368
2260,23960,27368
2270,23967,27368
2280,23968,27368
2290,23971,27368
2300,23974,27368
2310,23977,27368
2320,23977,27368
2330,23981,27368
2340,23982,27368
2350,23983,27368
2360,23986,27368
2370,23990,27368
2380,23992,27368
2390,23997,27368
2400,23998,27368
2410,23998,27368
2420,23998,27368
